"Schengen State","Country where consulate is located","Consulate","Number of Visa Applications (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas issued (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas not issued","Not issued rate for ATVs and uniform visas"
"Italy","CZECH REPUBLIC","PRAGUE","1","1","0",""
"Italy","ECUADOR","QUITO","1,659","1,456","203","12.24%"
"Italy","EGYPT","CAIRO","6,548","5,362","1,186","18.11%"
"Italy","EL SALVADOR","SAN SALVADOR","1","1","0",""
"Italy","ERITREA","ASMARA","256","222","34","13.28%"
"Italy","ETHIOPIA","ADDIS ABEBA","1,394","1,207","187","13.41%"
"Italy","FINLAND","HELSINKI","7","7","0",""
"Italy","FRANCE","PARIS","25","25","0",""
"Italy","GABON","LIBREVILLE","128","118","10","7.81%"
"Italy","GEORGIA","TBILISSI","23","23","0",""
"Italy","GERMANY","FRANKFURT/MAIN","25","24","1","4.00%"
"Italy","GHANA","ACCRA","991","417","574","57.92%"
"Italy","GREECE","ATHENS","2","2","0",""
"Italy","GUATEMALA","GUATEMALA CITY","4","4","0",""
"Italy","HOLY SEE (VATICAN CITY STATE)","VATICAN CITY","3","3","0",""
"Italy","HONG KONG S.A.R.","HONG KONG","88","85","3","3.41%"
"Italy","HUNGARY","BUDAPEST","4","3","1","25.00%"
"Italy","INDIA","KOLKATA","689","536","153","22.21%"
"Italy","INDIA","MUMBAI","4,428","3,782","646","14.59%"
"Italy","INDIA","NEW DELHI","2,275","1,233","1,042","45.80%"
"Italy","INDONESIA","JAKARTA","4,673","4,630","43","0.92%"
"Italy","IRAN","TEHERAN","3,167","2,989","178","5.62%"
"Italy","IRAQ","BAGHDAD","671","466","205","30.55%"
"Italy","IRAQ","ERBIL","354","166","188","53.11%"
"Italy","IRELAND","DUBLIN","536","532","4","0.75%"
"Italy","ISRAEL","JERUSALEM","556","525","31","5.58%"
"Italy","ISRAEL","TEL AVIV","168","159","9","5.36%"
"Italy","JAPAN","OSAKA","35","34","1","2.86%"
"Italy","JAPAN","TOKYO","99","96","3","3.03%"
"Italy","JORDAN","AMMAN","1,533","1,126","407","26.55%"
"Italy","KAZAKHSTAN","NUR-SULTAN","1,478","1,314","164","11.10%"
"Italy","KENYA","NAIROBI","1,056","961","95","9.00%"
"Italy","KOSOVO","PRISTINA","1,400","1,337","63","4.50%"
"Italy","KUWAIT","KUWAIT","1,388","1,370","18","1.30%"
"Italy","LEBANON","BEIRUT","3,127","2,606","521","16.66%"
"Italy","LIBYA","TRIPOLI","4,264","3,614","650","15.24%"
"Italy","MALAYSIA","KUALA LUMPUR","26","25","1","3.85%"
"Italy","MALTA","VALETTA","10","10","0",""
"Italy","MEXICO","MEXICO CITY","28","28","0",""
"Italy","MOLDOVA","CHISINAU","48","47","1","2.08%"
"Italy","MONGOLIA","ULAN BATOR","192","159","33","17.19%"
"Italy","MONTENEGRO","PODGORICA","32","31","1","3.12%"
"Italy","MOROCCO","CASABLANCA","3,639","2,124","1,515","41.63%"
"Italy","MOROCCO","RABAT","627","550","77","12.28%"
"Italy","MOZAMBIQUE","MAPUTO","199","195","4","2.01%"
"Italy","MYANMAR","YANGON","307","306","1","0.33%"
"Italy","NETHERLANDS","AMSTERDAM","3","3","0",""
"Italy","NEW ZEALAND","WELLINGTON","8","7","1","12.50%"
"Italy","NIGERIA","ABUJA","269","264","5","1.86%"
"Italy","NIGERIA","LAGOS","1,360","940","420","30.88%"
"Italy","NORTH MACEDONIA","SKOPJE","12","10","2","16.67%"
"Italy","NORWAY","OSLO","6","5","1","16.67%"
"Italy","OMAN","MUSCAT","278","272","6","2.16%"
"Italy","PAKISTAN","ISLAMABAD","1,727","1,387","340","19.69%"
"Italy","PAKISTAN","KARACHI","570","493","77","13.51%"
"Italy","PANAMA","PANAMA CITY","1,406","1,199","207","14.72%"
"Italy","PARAGUAY","ASUNCION","5","5","0",""
"Italy","PERU","LIMA","3","3","0",""
"Italy","PHILIPPINES","MANILA","5,726","5,562","164","2.86%"
"Italy","POLAND","WARSAW","3","3","0",""
"Italy","QATAR","DOHA","4,132","3,937","195","4.72%"
"Italy","ROMANIA","BUCHAREST","130","122","8","6.15%"
"Italy","RUSSIAN FEDERATION","MOSCOW","57,911","55,926","1,985","3.43%"
"Italy","RUSSIAN FEDERATION","ST. PETERSBURG","8,146","8,027","119","1.46%"
"Italy","SAN MARINO","SAN MARINO","145","143","2","1.38%"
"Italy","SAUDI ARABIA","JEDDAH","3,707","3,525","182","4.91%"
"Italy","SAUDI ARABIA","RIYADH","6,261","5,980","281","4.49%"
"Italy","SENEGAL","DAKAR","2,759","2,236","523","18.96%"
"Italy","SERBIA","BELGRADE","69","68","1","1.45%"
"Italy","SINGAPORE","SINGAPORE","497","477","20","4.02%"
"Italy","SLOVENIA","LJUBLJANA","1","1","0",""
"Italy","SOUTH AFRICA","CAPE TOWN","1,110","1,090","20","1.80%"
"Italy","SOUTH AFRICA","JOHANNESBURG","1,588","1,468","120","7.56%"
"Italy","SOUTH AFRICA","PRETORIA","168","162","6","3.57%"
"Italy","SOUTH KOREA","SEOUL","51","42","9","17.65%"
"Italy","SPAIN","MADRID","26","25","1","3.85%"
"Italy","SRI LANKA","COLOMBO","126","112","14","11.11%"
"Italy","SUDAN","KHARTOUM","236","221","15","6.36%"
"Italy","SWITZERLAND","GENEVA","10","10","0",""
"Italy","SWITZERLAND","LUGANO","2","2","0",""
"Italy","TAIWAN","TAIPEI","7","5","2","28.57%"
"Italy","TANZANIA","DAR ES SALAAM","318","277","41","12.89%"
"Italy","THAILAND","BANGKOK","1,236","1,130","106","8.58%"
"Italy","TUNISIA","TUNIS","4,870","3,771","1,099","22.57%"
"Italy","TURKEY","ANKARA","1,982","1,855","127","6.41%"
"Italy","TURKEY","ISTANBUL","14,117","12,953","1,164","8.25%"
"Italy","TURKEY","IZMIR","3,642","3,439","203","5.57%"
"Italy","TURKMENISTAN","ASHGABAT","107","107","0",""
"Italy","UGANDA","KAMPALA","618","523","95","15.37%"
"Italy","UKRAINE","KYIV","507","414","93","18.34%"
"Italy","UNITED ARAB EMIRATES","ABU DHABI","2,343","1,665","678","28.94%"
"Italy","UNITED ARAB EMIRATES","DUBAI","5,776","4,409","1,367","23.67%"
"Italy","UNITED KINGDOM","EDINBURGH","157","156","1","0.64%"
"Italy","UNITED KINGDOM","LONDON","4,623","4,305","318","6.88%"
"Italy","URUGUAY","MONTEVIDEO","8","8","0",""
"Italy","USA","BOSTON, MA","150","141","9","6.00%"
"Italy","USA","CHICAGO, IL","173","169","4","2.31%"
"Italy","USA","DETROIT, MI","163","161","2","1.23%"
"Italy","USA","HOUSTON, TX","301","292","9","2.99%"
"Italy","USA","LOS ANGELES, CA","260","259","1","0.38%"
"Italy","USA","MIAMI, FL","272","255","17","6.25%"
"Italy","USA","NEW YORK, NY","500","491","9","1.80%"
"Italy","USA","PHILADELPHIA, PA","128","124","4","3.12%"
"Italy","USA","SAN FRANCISCO, CA","645","639","6","0.93%"
"Italy","USA","WASHINGTON, DC","112","111","1","0.89%"
"Italy","UZBEKISTAN","TASHKENT","1,679","1,577","102","6.08%"
"Italy","VENEZUELA","CARACAS","6","6","0",""
"Italy","VIETNAM","HANOI","60","58","2","3.33%"
"Italy","VIETNAM","HO CHI MINH","99","90","9","9.09%"
"Italy","ZAMBIA","LUSAKA","109","105","4","3.67%"
"Italy","ZIMBABWE","HARARE","163","159","4","2.45%"
"Latvia","AZERBAIJAN","BAKU","1,279","1,199","80","6.25%"
"Latvia","BELARUS","MINSK","411","410","1","0.24%"
"Latvia","BELARUS","VITSYEBSK","3,321","3,301","20","0.60%"
"Latvia","CANADA","OTTAWA","14","13","1","7.14%"
"Latvia","CHINA","BEIJING","73","73","0",""
"Latvia","EGYPT","CAIRO","24","24","0",""
"Latvia","GEORGIA","TBILISSI","58","57","1","1.72%"
"Latvia","INDIA","NEW DELHI","52","38","14","26.92%"
"Latvia","ISRAEL","TEL AVIV","1","1","0",""
"Latvia","KAZAKHSTAN","NUR-SULTAN","557","552","5","0.90%"
"Latvia","RUSSIAN FEDERATION","KALININGRAD","1,673","1,673","0",""
"Latvia","RUSSIAN FEDERATION","MOSCOW","3,538","3,530","8","0.23%"
"Latvia","RUSSIAN FEDERATION","PSKOV","952","951","1","0.11%"
"Latvia","RUSSIAN FEDERATION","ST. PETERSBURG","1,876","1,871","5","0.27%"
"Latvia","SWEDEN","STOCKHOLM","1","1","0",""
"Latvia","TURKEY","ANKARA","448","299","149","33.26%"
"Latvia","UKRAINE","KYIV","353","339","14","3.97%"
"Latvia","UNITED ARAB EMIRATES","ABU DHABI","90","54","36","40.00%"
"Latvia","UNITED KINGDOM","LONDON","357","296","61","17.09%"
"Latvia","USA","WASHINGTON, DC","33","33","0",""
"Latvia","UZBEKISTAN","TASHKENT","1,653","1,467","186","11.25%"
"Lithuania","ARMENIA","YEREVAN","449","436","6","1.36%"
"Lithuania","AZERBAIJAN","BAKU","432","390","38","8.88%"
"Lithuania","BELARUS","GRODNO","889","883","0",""
"Lithuania","BELARUS","MINSK","6,294","6,257","8","0.13%"
"Lithuania","CANADA","OTTAWA","3","1","1","50.00%"
"Lithuania","CHINA","BEIJING","3","3","0",""
"Lithuania","EGYPT","CAIRO","211","185","11","5.61%"
"Lithuania","GEORGIA","TBILISSI","20","20","0",""
"Lithuania","INDIA","NEW DELHI","174","149","23","13.37%"
"Lithuania","IRELAND","DUBLIN","49","48","1","2.04%"
"Lithuania","ISRAEL","TEL AVIV","10","10","0",""
"Lithuania","JAPAN","TOKYO","5","5","0",""
"Lithuania","KAZAKHSTAN","ALMATY","3,469","3,078","405","11.63%"
"Lithuania","KAZAKHSTAN","NUR-SULTAN","12","12","0",""
"Lithuania","RUSSIAN FEDERATION","KALININGRAD","6,325","6,301","50","0.79%"
"Lithuania","RUSSIAN FEDERATION","MOSCOW","4,410","4,303","82","1.87%"
"Lithuania","RUSSIAN FEDERATION","SOVETSK","78","78","0",""
"Lithuania","RUSSIAN FEDERATION","ST. PETERSBURG","802","782","13","1.64%"
"Lithuania","SOUTH AFRICA","PRETORIA","37","37","0",""
"Lithuania","TURKEY","ANKARA","473","417","35","7.74%"
"Lithuania","UKRAINE","KYIV","64","54","6","10.00%"
"Lithuania","UNITED ARAB EMIRATES","ABU DHABI","103","102","0",""
"Lithuania","UNITED KINGDOM","LONDON","408","403","4","0.98%"
"Lithuania","USA","CHICAGO, IL","44","44","0",""
"Luxembourg","AUSTRIA","VIENNA","3","3","0",""
"Luxembourg","CHINA","BEIJING","49","44","3","6.38%"
"Luxembourg","CHINA","SHANGHAI","27","26","0",""
"Luxembourg","GERMANY","BERLIN","2","2","0",""
"Luxembourg","INDIA","NEW DELHI","270","264","0",""
"Luxembourg","ITALY","ROME","20","20","0",""
"Luxembourg","JAPAN","TOKYO","1","1","0",""
"Luxembourg","LUXEMBOURG","LUXEMBOURG","31","29","0",""
"Luxembourg","POLAND","WARSAW","3","3","0",""
"Luxembourg","PORTUGAL","LISBON","7","4","2","33.33%"
"Luxembourg","RUSSIAN FEDERATION","MOSCOW","960","949","3","0.32%"
"Luxembourg","SPAIN","MADRID","2","2","0",""
"Luxembourg","SWITZERLAND","BERN","1","1","0",""
"Luxembourg","SWITZERLAND","GENEVA","2","2","0",""
"Luxembourg","THAILAND","BANGKOK","53","47","4","7.84%"
"Luxembourg","TURKEY","ANKARA","640","611","6","0.97%"
"Luxembourg","UNITED ARAB EMIRATES","ABU DHABI","122","107","8","6.96%"
"Luxembourg","UNITED KINGDOM","LONDON","126","118","3","2.48%"
"Luxembourg","USA","NEW YORK, NY","32","30","0",""
"Luxembourg","USA","SAN FRANCISCO, CA","18","18","0",""
"Luxembourg","USA","WASHINGTON, DC","15","15","0",""
"Malta","ALGERIA","ALGIERS","1","0","0",""
"Malta","AUSTRALIA","CANBERRA","4","4","0",""
"Malta","CANADA","TORONTO","2","2","0",""
"Malta","CHINA","BEIJING","542","454","78","14.66%"
"Malta","CHINA","SHANGHAI","321","299","13","4.17%"
"Malta","EGYPT","CAIRO","87","76","12","13.64%"
"Malta","INDIA","NEW DELHI","72","72","8","10.00%"
"Malta","ISRAEL","TEL AVIV","23","20","2","9.09%"
"Malta","KUWAIT","KUWAIT","48","48","0",""
"Malta","LIBYA","TRIPOLI","495","428","64","13.01%"
"Malta","RUSSIAN FEDERATION","MOSCOW","81","70","10","12.50%"
"Malta","SAUDI ARABIA","RIYADH","146","137","8","5.52%"
"Malta","TUNISIA","TUNIS","41","40","1","2.44%"
"Malta","TURKEY","ISTANBUL","1,126","908","206","18.49%"
"Malta","UNITED ARAB EMIRATES","ABU DHABI","451","202","248","55.11%"
"Malta","UNITED KINGDOM","LONDON","816","784","37","4.51%"
"Malta","USA","NEW YORK, NY","12","8","2","20.00%"
"Malta","USA","WASHINGTON, DC","27","25","2","7.41%"
"Netherlands","AFGHANISTAN","KABUL","37","34","3","8.11%"
"Netherlands","ALGERIA","ALGIERS","310","232","59","20.27%"
"Netherlands","ANGOLA","LUANDA","252","112","132","54.10%"
"Netherlands","ARGENTINA","BUENOS AIRES","8","5","1","16.67%"
"Netherlands","AUSTRALIA","SYDNEY","55","36","12","25.00%"
"Netherlands","BANGLADESH","DHAKA","104","93","7","7.00%"
"Netherlands","BENIN","COTONOU","83","49","33","40.24%"
"Netherlands","BOSNIA AND HERZEGOVINA","SARAJEVO","12","10","1","9.09%"
"Netherlands","BRAZIL","SAO PAULO","32","22","6","21.43%"
"Netherlands","BULGARIA","SOFIA","122","98","21","17.65%"
"Netherlands","CANADA","OTTAWA","84","74","7","8.64%"
"Netherlands","CANADA","TORONTO","144","124","11","8.15%"
"Netherlands","CANADA","VANCOUVER","151","133","11","7.64%"
"Netherlands","CHILE","SANTIAGO DE CHILE","13","9","3","25.00%"
"Netherlands","CHINA","BEIJING","1,441","1,408","23","1.61%"
"Netherlands","CHINA","GUANGZHOU (CANTON)","129","111","16","12.60%"
"Netherlands","CHINA","SHANGHAI","456","438","2","0.45%"
"Netherlands","COLOMBIA","BOGOTA","34","25","3","10.71%"
"Netherlands","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","6","4","0",""
"Netherlands","COSTA RICA","SAN JOSE","7","5","1","16.67%"
"Netherlands","CROATIA","ZAGREB","20","15","4","21.05%"
"Netherlands","CUBA","HAVANA","326","220","86","28.10%"
"Netherlands","CZECH REPUBLIC","PRAGUE","1","1","0",""
"Netherlands","DOMINICAN REPUBLIC","SANTO DOMINGO","579","353","194","35.47%"
"Netherlands","EGYPT","CAIRO","2,498","1,784","628","26.04%"
"Netherlands","ETHIOPIA","ADDIS ABEBA","745","486","212","30.37%"
"Netherlands","FINLAND","HELSINKI","1","1","0",""
"Netherlands","FRANCE","PARIS","3","2","0",""
"Netherlands","GEORGIA","TBILISSI","197","150","41","21.47%"
"Netherlands","GERMANY","BERLIN","1","1","0",""
"Netherlands","GHANA","ACCRA","3,572","1,698","1,698","50.00%"
"Netherlands","GREECE","ATHENS","10","7","0",""
"Netherlands","HONG KONG S.A.R.","HONG KONG","80","72","3","4.00%"
"Netherlands","HUNGARY","BUDAPEST","9","6","2","25.00%"
"Netherlands","INDIA","NEW DELHI","10,379","8,683","1,604","15.59%"
"Netherlands","INDONESIA","JAKARTA","4,897","4,443","304","6.40%"
"Netherlands","IRAN","TEHERAN","1,688","1,146","508","30.71%"
"Netherlands","IRAQ","BAGHDAD","312","300","10","3.23%"
"Netherlands","IRAQ","ERBIL","440","327","86","20.82%"
"Netherlands","IRELAND","DUBLIN","443","390","19","4.65%"
"Netherlands","ISRAEL","TEL AVIV","93","114","10","8.06%"
"Netherlands","ITALY","ROME","2","0","0",""
"Netherlands","JAPAN","TOKYO","97","119","35","22.73%"
"Netherlands","JORDAN","AMMAN","1,169","945","179","15.93%"
"Netherlands","KAZAKHSTAN","NUR-SULTAN","199","186","8","4.12%"
"Netherlands","KENYA","NAIROBI","1,036","1,277","432","25.28%"
"Netherlands","KUWAIT","KUWAIT","3,251","2,992","190","5.97%"
"Netherlands","LEBANON","BEIRUT","1,016","560","394","41.30%"
"Netherlands","MALAYSIA","KUALA LUMPUR","99","49","41","45.56%"
"Netherlands","MALI","BAMAKO","325","189","136","41.85%"
"Netherlands","MEXICO","MEXICO CITY","60","44","11","20.00%"
"Netherlands","MOROCCO","RABAT","4,811","3,537","1,120","24.05%"
"Netherlands","MOZAMBIQUE","MAPUTO","146","112","33","22.76%"
"Netherlands","MYANMAR","YANGON","334","248","78","23.93%"
"Netherlands","NETHERLANDS","ARUBA","99","73","16","17.98%"
"Netherlands","NETHERLANDS","THE HAGUE","111","130","5","3.70%"
"Netherlands","NETHERLANDS","WILLEMSTAD (CURACAO)","150","111","26","18.98%"
"Netherlands","NEW ZEALAND","WELLINGTON","18","13","3","18.75%"
"Netherlands","NORTH MACEDONIA","SKOPJE","102","92","7","7.07%"
"Netherlands","OMAN","MUSCAT","1,530","1,297","191","12.84%"
"Netherlands","PAKISTAN","ISLAMABAD","2,160","954","1,135","54.33%"
"Netherlands","PALESTINIAN AUTHORITY","RAMALLAH","133","104","25","19.38%"
"Netherlands","PERU","LIMA","90","76","10","11.63%"
"Netherlands","PHILIPPINES","MANILA","36,621","36,073","304","0.84%"
"Netherlands","PORTUGAL","LISBON","1","0","0",""
"Netherlands","QATAR","DOHA","651","502","118","19.03%"
"Netherlands","ROMANIA","BUCHAREST","170","141","23","14.02%"
"Netherlands","RUSSIAN FEDERATION","MOSCOW","9,876","10,118","314","3.01%"
"Netherlands","RWANDA","KIGALI","29","29","0",""
"Netherlands","SAUDI ARABIA","RIYADH","3,930","3,171","595","15.80%"
"Netherlands","SENEGAL","DAKAR","588","240","292","54.89%"
"Netherlands","SERBIA","BELGRADE","51","40","10","20.00%"
"Netherlands","SINGAPORE","SINGAPORE","692","620","55","8.15%"
"Netherlands","SLOVAKIA","BRATISLAVA","17","0","0",""
"Netherlands","SOUTH AFRICA","CAPE TOWN","1,019","958","32","3.23%"
"Netherlands","SOUTH AFRICA","PRETORIA","1,744","1,537","136","8.13%"
"Netherlands","SOUTH KOREA","SEOUL","77","34","43","55.84%"
"Netherlands","SPAIN","MADRID","2","2","0",""
"Netherlands","SRI LANKA","COLOMBO","102","87","8","8.42%"
"Netherlands","SUDAN","KHARTOUM","288","160","111","40.96%"
"Netherlands","SURINAME","PARAMARIBO","3,125","2,405","635","20.89%"
"Netherlands","SWEDEN","STOCKHOLM","9","6","1","14.29%"
"Netherlands","TAIWAN","TAIPEI","24","24","12","33.33%"
"Netherlands","TANZANIA","DAR ES SALAAM","337","360","204","36.17%"
"Netherlands","THAILAND","BANGKOK","1,727","1,318","360","21.45%"
"Netherlands","TRINIDAD AND TOBAGO","PORT OF SPAIN","32","27","4","12.90%"
"Netherlands","TUNISIA","TUNIS","851","640","165","20.50%"
"Netherlands","TURKEY","ANKARA","8,824","6,421","2,018","23.91%"
"Netherlands","TURKEY","ISTANBUL","11,974","9,721","1,880","16.21%"
"Netherlands","UGANDA","KAMPALA","434","260","150","36.59%"
"Netherlands","UKRAINE","KYIV","318","209","96","31.48%"
"Netherlands","UNITED ARAB EMIRATES","DUBAI","3,658","2,819","711","20.14%"
"Netherlands","UNITED KINGDOM","LONDON","3,639","3,044","314","9.35%"
"Netherlands","USA","CHICAGO, IL","2","0","0",""
"Netherlands","USA","MIAMI, FL","224","184","28","13.21%"
"Netherlands","USA","NEW YORK, NY","323","271","22","7.51%"
"Netherlands","USA","SAN FRANCISCO, CA","153","132","11","7.69%"
"Netherlands","USA","WASHINGTON, DC","606","727","81","10.02%"
"Netherlands","VENEZUELA","CARACAS","1","0","1",""
"Netherlands","VIETNAM","HANOI","411","364","34","8.54%"
"Netherlands","ZIMBABWE","HARARE","192","143","41","22.28%"
"Norway","ALGERIA","ALGIERS","1","1","0",""
"Norway","AUSTRALIA","CANBERRA","7","6","3","33.33%"
"Norway","CHINA","BEIJING","114","152","7","4.40%"
"Norway","CHINA","GUANGZHOU (CANTON)","40","33","8","19.51%"
"Norway","CHINA","SHANGHAI","57","48","9","15.79%"
"Norway","CUBA","HAVANA","6","19","0",""
"Norway","DENMARK","COPENHAGEN","3","0","3",""
"Norway","GHANA","ACCRA","421","163","304","65.10%"
"Norway","GREECE","ATHENS","1","1","0",""
"Norway","INDIA","NEW DELHI","911","725","321","30.69%"
"Norway","IRAN","TEHERAN","0","5","0",""
"Norway","ITALY","ROME","3","0","3",""
"Norway","JORDAN","AMMAN","346","307","104","25.30%"
"Norway","KENYA","NAIROBI","400","275","165","37.50%"
"Norway","NETHERLANDS","THE HAGUE","1","2","0",""
"Norway","PHILIPPINES","MANILA","1","1","0",""
"Norway","RUSSIAN FEDERATION","MOSCOW","1,821","1,693","208","10.94%"
"Norway","SOUTH AFRICA","PRETORIA","222","229","9","3.78%"
"Norway","SWEDEN","STOCKHOLM","3","5","0",""
"Norway","THAILAND","BANGKOK","1,664","1,389","471","25.32%"
"Norway","TURKEY","ANKARA","1,318","848","504","37.28%"
"Norway","UNITED ARAB EMIRATES","ABU DHABI","1,395","976","512","34.41%"
"Norway","UNITED KINGDOM","LONDON","988","893","97","9.80%"
"Norway","USA","NEW YORK, NY","172","115","67","36.81%"
"Poland","ALBANIA","TIRANA","90","161","0",""
"Poland","ALGERIA","ALGIERS","165","124","22","15.07%"
"Poland","ANGOLA","LUANDA","110","65","45","40.91%"
"Poland","ARMENIA","YEREVAN","611","614","2","0.32%"
"Poland","AUSTRALIA","SYDNEY","2","2","0",""
"Poland","AUSTRIA","VIENNA","1","1","0",""
"Poland","AZERBAIJAN","BAKU","310","307","24","7.25%"
"Poland","BELARUS","BREST","4,014","3,941","74","1.84%"
"Poland","BELARUS","GRODNO","5,297","5,199","97","1.83%"
"Poland","BELARUS","MINSK","4,990","4,819","162","3.25%"
"Poland","BOSNIA AND HERZEGOVINA","SARAJEVO","3","2","0",""
"Poland","BULGARIA","SOFIA","183","172","11","6.01%"
"Poland","CANADA","MONTREAL","15","15","0",""
"Poland","CANADA","OTTAWA","10","10","0",""
"Poland","CANADA","TORONTO","24","24","0",""
"Poland","CANADA","VANCOUVER","33","33","1","2.94%"
"Poland","CHINA","BEIJING","120","117","3","2.50%"
"Poland","CHINA","CHENGDU","40","40","0",""
"Poland","CHINA","GUANGZHOU (CANTON)","62","62","0",""
"Poland","CHINA","SHANGHAI","245","228","16","6.56%"
"Poland","COLOMBIA","BOGOTA","4","4","0",""
"Poland","CROATIA","ZAGREB","20","20","1","4.76%"
"Poland","CUBA","HAVANA","62","62","0",""
"Poland","CYPRUS","NICOSIA","187","142","44","23.66%"
"Poland","EGYPT","CAIRO","707","604","108","15.17%"
"Poland","ETHIOPIA","ADDIS ABEBA","78","81","4","4.71%"
"Poland","FINLAND","HELSINKI","2","2","0",""
"Poland","FRANCE","PARIS","2","2","0",""
"Poland","GEORGIA","TBILISSI","21","15","7","31.82%"
"Poland","HONG KONG S.A.R.","HONG KONG","5","5","0",""
"Poland","INDIA","MUMBAI","373","330","43","11.53%"
"Poland","INDIA","NEW DELHI","385","272","113","29.35%"
"Poland","INDONESIA","JAKARTA","72","72","0",""
"Poland","IRAN","TEHERAN","244","232","19","7.57%"
"Poland","IRAQ","ERBIL","76","54","23","29.87%"
"Poland","IRELAND","DUBLIN","235","223","6","2.62%"
"Poland","ISRAEL","TEL AVIV","185","195","0",""
"Poland","JAPAN","TOKYO","21","20","1","4.76%"
"Poland","JORDAN","AMMAN","306","314","14","4.27%"
"Poland","KAZAKHSTAN","ALMATY","686","653","40","5.77%"
"Poland","KAZAKHSTAN","NUR-SULTAN","368","371","2","0.54%"
"Poland","KENYA","NAIROBI","213","208","6","2.80%"
"Poland","KUWAIT","KUWAIT","83","82","0",""
"Poland","LEBANON","BEIRUT","158","160","3","1.84%"
"Poland","MEXICO","MEXICO CITY","1","1","0",""
"Poland","MOLDOVA","CHISINAU","8","7","0",""
"Poland","MONTENEGRO","PODGORICA","11","13","0",""
"Poland","MOROCCO","RABAT","83","45","5","10.00%"
"Poland","NIGERIA","ABUJA","239","124","120","49.18%"
"Poland","NORTH MACEDONIA","SKOPJE","149","261","16","5.78%"
"Poland","PAKISTAN","ISLAMABAD","150","135","42","23.73%"
"Poland","PANAMA","PANAMA CITY","4","4","0",""
"Poland","PERU","LIMA","112","104","8","7.14%"
"Poland","PHILIPPINES","MANILA","364","314","44","12.29%"
"Poland","QATAR","DOHA","214","217","3","1.36%"
"Poland","ROMANIA","BUCHAREST","97","66","31","31.96%"
"Poland","RUSSIAN FEDERATION","IRKUTSK","220","218","2","0.91%"
"Poland","RUSSIAN FEDERATION","KALININGRAD","3,139","3,102","35","1.12%"
"Poland","RUSSIAN FEDERATION","MOSCOW","5,867","5,940","42","0.70%"
"Poland","RUSSIAN FEDERATION","ST. PETERSBURG","361","358","7","1.92%"
"Poland","SAUDI ARABIA","RIYADH","280","279","2","0.71%"
"Poland","SENEGAL","DAKAR","81","42","41","49.40%"
"Poland","SERBIA","BELGRADE","12","13","0",""
"Poland","SINGAPORE","SINGAPORE","13","13","0",""
"Poland","SOUTH AFRICA","PRETORIA","254","226","17","7.00%"
"Poland","SOUTH KOREA","SEOUL","15","6","8","57.14%"
"Poland","SWEDEN","STOCKHOLM","2","2","0",""
"Poland","SYRIA","DAMASCUS","42","34","7","17.07%"
"Poland","TAIWAN","TAIPEI","3","2","1","33.33%"
"Poland","TANZANIA","DAR ES SALAAM","87","73","13","15.12%"
"Poland","THAILAND","BANGKOK","139","96","43","30.94%"
"Poland","TUNISIA","TUNIS","358","262","93","26.20%"
"Poland","TURKEY","ANKARA","2,411","2,093","318","13.19%"
"Poland","TURKEY","ISTANBUL","2,259","2,027","227","10.07%"
"Poland","UKRAINE","KYIV","160","133","23","14.74%"
"Poland","UKRAINE","LUTSK","36","31","5","13.89%"
"Poland","UKRAINE","LVIV","55","46","9","16.36%"
"Poland","UKRAINE","ODESA","8","6","2","25.00%"
"Poland","UKRAINE","VINNYTSIA","20","15","5","25.00%"
"Poland","UNITED ARAB EMIRATES","ABU DHABI","304","296","18","5.73%"
"Poland","UNITED KINGDOM","LONDON","1,554","1,521","34","2.19%"
"Poland","USA","CHICAGO, IL","30","29","0",""
"Poland","USA","HOUSTON, TX","32","31","1","3.12%"
"Poland","USA","LOS ANGELES, CA","78","78","0",""
"Poland","USA","NEW YORK, NY","110","107","3","2.73%"
"Poland","USA","WASHINGTON, DC","73","72","0",""
"Poland","UZBEKISTAN","TASHKENT","1,630","1,406","234","14.27%"
"Poland","VIETNAM","HANOI","8","8","0",""
"Portugal","ALGERIA","ALGIERS","128","87","41","32.03%"
"Portugal","ANGOLA","BENGUELA","286","278","14","4.79%"
"Portugal","ANGOLA","LUANDA","6,265","5,280","985","15.72%"
"Portugal","ARGENTINA","BUENOS AIRES","5","4","1","20.00%"
"Portugal","AUSTRALIA","CANBERRA","2","1","1","50.00%"
"Portugal","AUSTRALIA","SYDNEY","1","1","0",""
"Portugal","AUSTRIA","VIENNA","1","1","0",""
"Portugal","BRAZIL","BELO HORIZONTE","7","5","2","28.57%"
"Portugal","BRAZIL","BRASILIA","13","7","6","46.15%"
"Portugal","BRAZIL","PORTO ALEGRE","2","1","1","50.00%"
"Portugal","BRAZIL","RIO DE JANEIRO","18","9","9","50.00%"
"Portugal","BRAZIL","SALVADOR DE BAHIA","12","6","6","50.00%"
"Portugal","BRAZIL","SAO PAULO","48","21","27","56.25%"
"Portugal","BULGARIA","SOFIA","249","203","46","18.47%"
"Portugal","CANADA","MONTREAL","57","52","5","8.77%"
"Portugal","CANADA","OTTAWA","14","14","0",""
"Portugal","CANADA","TORONTO","158","140","18","11.39%"
"Portugal","CANADA","VANCOUVER","13","13","0",""
