"Country where consulate is located","Schengen State","Consulate","Uniform visas applied for","Multiple entry uniform visas (MEVs) issued","Total uniform visas not issued","Not issued rate for uniform visas"
"Lebanon","Austria","Beirut","526","415","108","20.5%"
"Hong Kong S.A.R.","Finland","Hong Kong","480","376","97","20.5%"
"Russian Federation","Finland","Moscow","14,741","11,306","2,928","20.5%"
"Iran","France","Teheran","31,888","23,207","5,975","20.5%"
"Jordan","Spain","Amman","7,620","5,663","1,493","20.5%"
"Brazil","Netherlands","Sao Paulo","120","82","21","20.4%"
"Suriname","Netherlands","Paramaribo","16,938","13,324","3,416","20.4%"
"Türkiye","Austria","Istanbul","12,815","10,189","2,613","20.4%"
"United Arab Emirates","Switzerland","Abu Dhabi","17,549","13,894","3,568","20.3%"
"Lebanon","Poland","Beirut","706","556","148","20.2%"
"Chile","Netherlands","Santiago De Chile","42","32","8","20.0%"
"Germany","Portugal","Berlin","5","0","1","20.0%"
"Israel","Belgium","Tel Aviv","80","60","15","20.0%"
"Brazil","Germany","Porto Alegre","15","12","3","20.0%"
"Pakistan","Germany","Karachi","8,060","6,400","1,598","20.0%"
"Russian Federation","Germany","St. Petersburg","6,870","5,368","1,356","20.0%"
"Bosnia And Herzegovina","Germany","Sarajevo","317","281","9","2.9%"
"Bosnia And Herzegovina","Greece","Sarajevo","35","31","1","2.9%"
"Georgia","Greece","Tbilissi","36","29","1","2.9%"
"China","Finland","Shanghai","821","762","23","2.9%"
"Georgia","Lithuania","Tbilissi","143","135","4","2.9%"
"Japan","Luxembourg","Tokyo","35","34","1","2.9%"
"China","Netherlands","Shanghai","1,770","1,692","50","2.9%"
"Israel","Poland","Tel Aviv","999","961","33","2.9%"
"Serbia","Poland","Belgrade","35","34","1","2.9%"
"Vietnam","Poland","Hanoi","508","492","15","2.9%"
"Usa","Portugal","San Francisco, Ca","1,249","1,213","36","2.9%"
"Costa Rica","Switzerland","San Jose","34","33","1","2.9%"
"China","Sweden","Shanghai","1,227","1,162","34","2.8%"
"Usa","Switzerland","New York, Ny","2,386","2,245","66","2.8%"
"Saudi Arabia","Germany","Jeddah","7,015","6,791","193","2.8%"
"Canada","Netherlands","Toronto","602","552","16","2.8%"
"Russian Federation","Latvia","Moscow","1,198","1,083","32","2.7%"
"Canada","Malta","Toronto","37","36","1","2.7%"
"Canada","Poland","Ottawa","75","72","2","2.7%"
"United Kingdom","Slovakia","London","703","679","19","2.7%"
"Montenegro","Slovenia","Podgorica","946","903","25","2.7%"
"Guatemala","Spain","Guatemala City","121","110","3","2.7%"
"Azerbaijan","Switzerland","Baku","2,822","2,745","77","2.7%"
"Taiwan","Austria","Taipei","74","72","2","2.7%"
"Moldova","Germany","Chisinau","219","210","6","2.7%"
"Israel","Greece","Jerusalem","2,306","2,110","59","2.7%"
"Usa","Greece","Chicago, Il","619","597","17","2.7%"
"Ecuador","Hungary","Quito","519","505","14","2.7%"
"South Africa","Hungary","Pretoria","840","817","23","2.7%"
"Uzbekistan","Hungary","Tashkent","958","929","29","2.6%"
"China","Iceland","Beijing","81","76","2","2.6%"
"United Kingdom","Portugal","Manchester","2,612","2,542","68","2.6%"
"China","Slovakia","Beijing","116","113","3","2.6%"
"Saudi Arabia","Spain","Riyadh","43,269","40,733","1,105","2.6%"
"Serbia","Austria","Belgrade","795","758","21","2.6%"
"Ireland","France","Dublin","3,314","3,236","82","2.5%"
"Canada","Germany","Toronto","1,730","1,658","43","2.5%"
"Usa","Germany","Chicago, Il","1,184","1,140","30","2.5%"
"Canada","Netherlands","Ottawa","295","273","7","2.5%"
"Albania","Poland","Tirana","435","414","21","2.5%"
"Russian Federation","Poland","Kaliningrad","767","748","19","2.5%"
"Armenia","Slovakia","Yerevan","234","228","6","2.5%"
"Brazil","Spain","Rio De Janeiro","84","79","2","2.5%"
"Indonesia","Switzerland","Jakarta","18,792","17,643","477","2.5%"
"United Kingdom","Portugal","London","7,010","6,826","169","2.4%"
"Canada","Slovakia","Ottawa","44","40","1","2.4%"
"Romania","Slovakia","Bucharest","41","39","1","2.4%"
"Russian Federation","Slovakia","Moscow","469","454","11","2.4%"
"Russian Federation","Slovakia","St. Petersburg","125","120","3","2.4%"
"Costa Rica","Spain","San Jose","179","165","4","2.4%"
"United Kingdom","Spain","London","33,286","30,897","774","2.4%"
"Saudi Arabia","Switzerland","Riyadh","25,961","25,272","628","2.4%"
"Bulgaria","Germany","Sofia","577","556","14","2.4%"
"Russian Federation","Hungary","Kazan","2,501","2,441","60","2.4%"
"Usa","Hungary","Chicago, Il","126","123","3","2.4%"
"Usa","Austria","Los Angeles, Ca","748","729","18","2.4%"
"China","Finland","Beijing","451","386","10","2.4%"
"Usa","Italy","Miami, Fl","743","725","18","2.4%"
"Zimbabwe","Italy","Harare","837","797","20","2.4%"
"United Kingdom","Netherlands","London","11,478","10,803","267","2.4%"
"Usa","Italy","Houston, Tx","1,033","1,009","24","2.3%"
"Russian Federation","Lithuania","St. Petersburg","341","336","8","2.3%"
"Belarus","Germany","Minsk","27,319","26,667","638","2.3%"
"Libya","Greece","Tripoli","1,075","1,035","24","2.3%"
"United Kingdom","Spain","Edinburgh","6,629","6,332","149","2.3%"
"Ukraine","Czech Republic","Kyiv","12,741","12,454","287","2.3%"
"Usa","Hungary","Washington, Dc","137","134","3","2.2%"
"Russian Federation","Netherlands","Moscow","3,463","3,253","73","2.2%"
"Thailand","Slovakia","Bangkok","91","89","2","2.2%"
"Vietnam","Slovakia","Hanoi","87","85","2","2.2%"
"New Zealand","Spain","Wellington","118","133","3","2.2%"
"Jamaica","Spain","Kingston","2,217","2,153","47","2.1%"
"Vietnam","Spain","Hanoi","2,436","2,133","47","2.1%"
"Kazakhstan","Greece","Astana","7,988","7,788","171","2.1%"
"Philippines","Greece","Manila","9,059","8,797","190","2.1%"
"Croatia","France","Zagreb","97","92","2","2.1%"
"Canada","Netherlands","Vancouver","883","858","18","2.1%"
"Usa","Netherlands","San Francisco, Ca","1,503","1,406","30","2.1%"
"South Africa","Netherlands","Cape Town","6,629","6,343","129","2.0%"
"Canada","Poland","Montreal","101","97","2","2.0%"
"Guatemala","Germany","Guatemala City","49","48","1","2.0%"
"Usa","Germany","Washington, Dc","1,093","1,056","22","2.0%"
"Albania","Italy","Vlore","49","48","1","2.0%"
"Azerbaijan","Italy","Baku","2,180","2,137","43","2.0%"
"Mexico","Portugal","Mexico City","49","48","1","2.0%"
"Russian Federation","Finland","St. Petersburg","85,397","81,803","1,677","2.0%"
"India","Denmark","New Delhi","8,033","5,941","1,446","19.6%"
"Syria","Greece","Damascus","551","443","108","19.6%"
"Nigeria","Switzerland","Abuja","2,600","2,042","507","19.5%"
"Malaysia","Finland","Kuala Lumpur","66","50","12","19.4%"
"Japan","Sweden","Tokyo","195","130","31","19.3%"
"Congo (Democratic Republic)","Belgium","Lubumbashi","2,293","1,795","424","19.1%"
"Kenya","Germany","Nairobi","6,119","4,814","1,141","19.1%"
"Iraq","Greece","Erbil","1,522","1,193","280","19.0%"
"Kyrgyzstan","Hungary","Bishkek","7,877","6,380","1,497","19.0%"
"Brazil","Spain","Brasilia","65","51","12","19.0%"
"South Korea","Belgium","Seoul","144","102","24","19.0%"
"India","France","Kolkata","9,670","7,694","1,788","18.9%"
"Vietnam","Finland","Hanoi","869","670","156","18.8%"
"Dominican Republic","France","Santo Domingo","4,520","3,625","841","18.8%"
"Romania","Hungary","Bucharest","608","494","114","18.8%"
"Australia","Netherlands","Sydney","765","597","139","18.7%"
"India","Sweden","New Delhi","27,775","22,261","5,110","18.7%"
"United Arab Emirates","France","Abu Dhabi","21,935","17,606","4,056","18.6%"
"Kuwait","Hungary","Kuwait","971","790","181","18.6%"
"United Arab Emirates","Austria","Abu Dhabi","5,800","4,543","1,080","18.6%"
"United Arab Emirates","Italy","Dubai","11,107","9,043","2,062","18.6%"
"Türkiye","Netherlands","Istanbul","29,388","23,536","5,384","18.6%"
"Egypt","Switzerland","Cairo","5,439","4,343","1,007","18.5%"
"India","Portugal","Goa","1,887","1,539","347","18.4%"
"Jordan","Austria","Amman","4,147","3,367","767","18.4%"
"Laos","France","Vientiane","2,152","1,699","382","18.4%"
"Cameroon","Switzerland","Yaonde","1,191","973","218","18.3%"
"Burkina Faso","Germany","Ouagadougou","1,066","860","193","18.3%"
"Dominican Republic","Germany","Santo Domingo","2,333","1,894","425","18.3%"
"Russian Federation","Greece","Moscow","50,401","40,742","9,039","18.2%"
"Colombia","Portugal","Bogota","22","18","4","18.2%"
"Bulgaria","Portugal","Sofia","348","283","63","18.1%"
"Ecuador","France","Quito","5,350","4,253","940","18.1%"
"Lebanon","Italy","Beirut","11,266","8,797","2,038","18.1%"
"Australia","Portugal","Canberra","50","41","9","18.0%"
"Burkina Faso","Belgium","Ouagadougou","2,247","1,695","373","18.0%"
"United Arab Emirates","Italy","Abu Dhabi","5,578","4,578","1,000","17.9%"
"Türkiye","Slovakia","Ankara","548","447","97","17.8%"
"Kenya","Netherlands","Nairobi","3,832","3,023","657","17.7%"
"United Arab Emirates","Poland","Abu Dhabi","1,156","941","207","17.7%"
"South Korea","France","Seoul","612","476","102","17.6%"
"Brazil","France","Rio De Janeiro","35","28","6","17.6%"
"India","Poland","Mumbai","6,876","5,670","1,201","17.5%"
"Türkiye","Hungary","Ankara","3,807","3,142","665","17.5%"
"Italy","Germany","Rome","26","19","4","17.4%"
"Russian Federation","Portugal","Moscow","3,332","2,749","580","17.4%"
"Bosnia And Herzegovina","Spain","Sarajevo","26","19","4","17.4%"
"Bangladesh","Switzerland","Dhaka","1,266","1,037","219","17.3%"
"Iraq","Italy","Erbil","1,309","1,039","226","17.3%"
"India","Finland","New Delhi","7,950","6,297","1,323","17.3%"
"India","France","Mumbai","46,000","36,668","7,691","17.3%"
"Niger","France","Niamey","7,285","5,840","1,239","17.3%"
"Armenia","Italy","Yerevan","12,465","10,336","2,128","17.1%"
"Lebanon","Switzerland","Beirut","2,593","2,097","440","17.0%"
"Kyrgyzstan","Germany","Bishkek","9,375","7,716","1,576","16.9%"
"Sudan","Italy","Khartoum","840","693","142","16.9%"
"Egypt","Poland","Cairo","2,142","1,770","364","16.8%"
"Ethiopia","Finland","Addis Abeba","305","237","48","16.8%"
"Netherlands","Netherlands","The Hague","332","267","54","16.7%"
"Sri Lanka","Netherlands","Colombo","6","4","1","16.7%"
"Taiwan","Netherlands","Taipei","74","60","12","16.7%"
"Greece","Norway","Athens","6","5","1","16.7%"
"Austria","Portugal","Vienna","6","5","1","16.7%"
"Mongolia","France","Ulan Bator","3,199","2,603","518","16.6%"
"Jordan","Germany","Amman","10,439","8,436","1,717","16.6%"
"Armenia","Greece","Yerevan","20,228","16,841","3,354","16.6%"
"China","Portugal","Guangzhou (Canton)","1,609","1,342","266","16.5%"
"Qatar","Portugal","Doha","1,483","1,205","245","16.5%"
"Zimbabwe","Portugal","Harare","267","223","44","16.5%"
"Dominican Republic","Switzerland","Santo Domingo","1,614","1,348","266","16.5%"
"India","Belgium","Mumbai","13,643","11,159","2,207","16.5%"
"Canada","Portugal","Ottawa","154","129","25","16.2%"
"Tanzania","Germany","Dar Es Salaam","2,574","2,140","413","16.2%"
"Russian Federation","Greece","St. Petersburg","20,335","16,939","3,257","16.1%"
"North Macedonia","Netherlands","Skopje","141","18","22","16.1%"
"Usa","Norway","New York, Ny","2,550","2,136","411","16.1%"
"United Arab Emirates","Belgium","Abu Dhabi","4,232","3,502","673","16.1%"
"Egypt","Austria","Cairo","3,529","2,947","566","16.0%"
"Taiwan","Czech Republic","Taipei","25","21","4","16.0%"
"Mexico","Finland","Mexico City","28","21","4","16.0%"
"Kazakhstan","Latvia","Astana","3,035","2,538","485","16.0%"
"Thailand","Netherlands","Bangkok","8,387","6,964","1,327","16.0%"
"Türkiye","Malta","Istanbul","2,380","1,947","369","15.9%"
"Jamaica","Belgium","Kingston","725","493","93","15.9%"
"Cuba","Spain","Havana","16,088","12,879","2,435","15.9%"
"Palestinian Authority","Netherlands","Ramallah","602","391","84","15.8%"
"Azerbaijan","Hungary","Baku","6,669","5,616","1,053","15.8%"
"Mongolia","Germany","Ulan Bator","7,555","6,324","1,179","15.7%"
"Zimbabwe","Germany","Harare","698","575","107","15.7%"
"Qatar","Belgium","Doha","1,175","956","178","15.7%"
"Japan","Finland","Tokyo","150","118","22","15.7%"
"Burkina Faso","Denmark","Ouagadougou","161","124","23","15.6%"
"Benin","Netherlands","Cotonou","276","226","42","15.6%"
"Türkiye","Switzerland","Istanbul","13,778","11,530","2,145","15.6%"
"Georgia","France","Tbilissi","504","419","77","15.5%"
"India","France","Bangalore","22,622","18,510","3,386","15.5%"
"Nigeria","Greece","Abuja","952","786","144","15.5%"
"Türkiye","France","Ankara","39,599","31,865","5,803","15.4%"
"Türkiye","Germany","Izmir","32,174","26,966","4,906","15.4%"
"India","Luxembourg","New Delhi","2,268","1,896","344","15.4%"
"Romania","Poland","Bucharest","242","204","37","15.4%"
"India","Netherlands","New Delhi","52,616","43,941","7,940","15.3%"
"Egypt","Germany","Cairo","43,253","36,332","6,586","15.3%"
"Türkiye","Slovenia","Ankara","2,616","2,148","389","15.3%"
"Vietnam","Hungary","Ho Chi Minh","454","385","69","15.2%"
"Armenia","Czech Republic","Yerevan","2,317","1,963","353","15.2%"
"Serbia","Spain","Belgrade","216","167","30","15.1%"
"Myanmar","Netherlands","Yangon","1,200","968","177","15.1%"
"Iraq","Greece","Baghdad","1,087","892","161","15.1%"
"Pakistan","Greece","Islamabad","656","510","99","15.1%"
"Palestinian Authority","Germany","Ramallah","3,744","2,904","558","15.0%"
"Peru","Hungary","Lima","20","17","3","15.0%"
"United Arab Emirates","Denmark","Dubai","7,254","5,913","1,043","15.0%"
"Jordan","Hungary","Amman","3,542","3,015","527","14.9%"
"India","Italy","Mumbai","16,413","13,971","2,441","14.9%"
"Israel","Netherlands","Tel Aviv","255","195","35","14.9%"
"Iran","Portugal","Teheran","628","513","93","14.8%"
"Brazil","Spain","Sao Paulo","64","52","9","14.8%"
"Serbia","Finland","Belgrade","104","87","15","14.7%"
"Russian Federation","Greece","Novorossiysk","5,094","4,159","719","14.7%"
"Israel","Spain","Jerusalem","7,519","6,097","1,047","14.6%"
"Kazakhstan","Czech Republic","Astana","7,441","6,353","1,088","14.6%"
"Georgia","Estonia","Tbilissi","321","274","47","14.6%"
"Romania","Greece","Bucharest","517","434","74","14.5%"
"Saudi Arabia","Hungary","Riyadh","1,407","1,203","204","14.5%"
"Libya","Italy","Benghazi","1,453","1,234","211","14.5%"
"Russian Federation","Italy","St. Petersburg","16,300","13,932","2,356","14.5%"
"India","Norway","New Delhi","18,016","15,389","2,618","14.5%"
"Brazil","Switzerland","Sao Paulo","76","64","11","14.5%"
"Russian Federation","Belgium","Moscow","1,972","1,622","278","14.4%"
"Thailand","Belgium","Bangkok","3,647","3,026","510","14.4%"
"Usa","Estonia","San Francisco, Ca","297","249","42","14.4%"
"Jordan","Poland","Amman","1,566","1,329","237","14.4%"
"Sweden","Netherlands","Stockholm","16","12","2","14.3%"
"Singapore","Poland","Singapore","211","180","30","14.3%"
"Argentina","Germany","Buenos Aires","50","42","7","14.3%"
"Brazil","Italy","Rio De Janeiro","28","24","4","14.3%"
"Georgia","Austria","Tbilissi","7","6","1","14.3%"
"Panama","Belgium","Panama City","16","12","2","14.3%"
"Vietnam","Czech Republic","Hanoi","1,550","1,329","221","14.3%"
"Vietnam","Austria","Hanoi","1,106","931","157","14.2%"
"Japan","Switzerland","Tokyo","613","524","87","14.2%"
"Cambodia","Germany","Phnom Penh","3,050","2,607","432","14.2%"
"Vietnam","Germany","Ho Chi Minh","6,577","5,563","924","14.2%"
"Argentina","France","Buenos Aires","157","122","20","14.1%"
"Uzbekistan","Poland","Tashkent","2,383","2,035","346","14.1%"
"Angola","Portugal","Benguela","1,583","1,361","221","14.0%"
"Panama","Germany","Panama City","43","37","6","14.0%"
"Russian Federation","Germany","Yekaterinburg","4,794","3,936","640","13.9%"
"Jordan","Greece","Amman","6,951","5,749","934","13.9%"
"China","Poland","Beijing","601","518","83","13.8%"
"Ukraine","Switzerland","Kyiv","80","69","11","13.8%"
"Saudi Arabia","Sweden","Riyadh","1,759","1,486","239","13.7%"
"United Kingdom","Belgium","London","6,069","5,011","796","13.7%"
"Türkiye","Czech Republic","Istanbul","5,668","4,888","777","13.7%"
"China","Denmark","Guangzhou (Canton)","1,892","1,506","240","13.7%"
"Mozambique","France","Maputo","1,638","1,370","218","13.7%"
"Cuba","Portugal","Havana","1,440","1,242","197","13.7%"
"Montenegro","Germany","Podgorica","245","193","32","13.6%"
"Albania","Germany","Tirana","89","30","12","13.5%"
"Croatia","Germany","Zagreb","185","130","25","13.5%"
"China","Poland","Guangzhou (Canton)","409","352","55","13.5%"
"Türkiye","France","Istanbul","75,515","62,000","9,632","13.4%"
"Oman","Spain","Muscat","5,793","4,899","758","13.4%"
"Brazil","Germany","Sao Paulo","86","72","11","13.3%"
"Croatia","Portugal","Zagreb","15","13","2","13.3%"
"Egypt","France","Cairo","39,590","33,757","5,206","13.3%"
"China","Estonia","Beijing","77","66","10","13.2%"
"Iraq","Spain","Baghdad","1,667","1,360","217","13.2%"
"India","Switzerland","New Delhi","106,025","91,989","13,984","13.2%"
"United Kingdom","Latvia","London","813","696","107","13.2%"
"Uzbekistan","France","Tashkent","6,910","5,866","901","13.1%"
"Jordan","Italy","Amman","4,956","4,242","647","13.1%"
"China","Spain","Guangzhou (Canton)","2,680","2,122","321","13.1%"
"Morocco","Switzerland","Rabat","3,356","2,914","440","13.1%"
"Vietnam","France","Ho Chi Minh","20,555","17,007","2,639","13.0%"
"India","Germany","Mumbai","55,870","48,535","7,161","12.9%"
"Morocco","Italy","Rabat","2,467","2,146","319","12.9%"
"Kuwait","Belgium","Kuwait","2,770","2,397","354","12.9%"
"Timor-Leste","Portugal","Dili","62","54","8","12.9%"
"Japan","Spain","Tokyo","778","640","95","12.9%"
"South Korea","Switzerland","Seoul","225","195","29","12.9%"
"Malaysia","Italy","Kuala Lumpur","390","340","50","12.8%"
"Togo","Germany","Lome","747","642","95","12.8%"
"China","Italy","Shanghai","4,947","4,237","633","12.8%"
"China","Greece","Guangzhou (Canton)","636","537","78","12.7%"
"India","Spain","Mumbai","40,603","35,313","5,135","12.7%"
"Thailand","Denmark","Bangkok","9,454","7,857","1,144","12.7%"
"Ukraine","Poland","Lviv","714","622","90","12.6%"
"Slovenia","Italy","Ljubljana","8","7","1","12.5%"
"Argentina","Belgium","Buenos Aires","10","7","1","12.5%"
"Poland","Belgium","Warsaw","20","14","2","12.5%"
"France","Denmark","Paris","11","7","1","12.5%"
"Cyprus","France","Nicosia","433","356","51","12.5%"
"Greece","Germany","Athens","8","4","1","12.5%"
"Honduras","Spain","Tegucigalpa","23","17","3","12.5%"
"North Macedonia","Czech Republic","Skopje","889","93","110","12.4%"
"Israel","France","Tel Aviv","527","444","63","12.4%"
"Malaysia","France","Kuala Lumpur","893","749","106","12.4%"
"Peru","France","Lima","76","64","9","12.3%"
"China","Switzerland","Guangzhou (Canton)","675","592","83","12.3%"
"Uzbekistan","Italy","Tashkent","6,502","5,690","802","12.3%"
"Brazil","Italy","Sao Paulo","73","64","9","12.3%"
"Mexico","Spain","Monterrey","53","43","6","12.2%"
"Kosovo","Switzerland","Pristina","44,453","606","5,417","12.2%"
"India","Belgium","New Delhi","4,824","4,143","577","12.2%"
"Kenya","France","Nairobi","3,300","2,842","398","12.2%"
"Israel","France","Jerusalem","3,945","3,049","435","12.1%"
"Saudi Arabia","Portugal","Riyadh","13,873","12,200","1,672","12.1%"
"Egypt","Greece","Cairo","6,231","5,442","748","12.1%"
"India","Hungary","Mumbai","9,046","7,948","1,098","12.1%"
"Russian Federation","Hungary","Moscow","17,190","15,109","2,081","12.1%"
"Kenya","Italy","Nairobi","3,790","3,324","456","12.0%"
"Qatar","Spain","Doha","13,012","10,957","1,513","12.0%"
"Bulgaria","Belgium","Sofia","163","132","18","12.0%"
"Peru","Belgium","Lima","49","37","5","11.9%"
"Bosnia And Herzegovina","France","Sarajevo","65","52","7","11.9%"
"China","Switzerland","Beijing","1,164","1,025","139","11.9%"
"Pakistan","Italy","Islamabad","3,821","3,300","453","11.9%"
"Malaysia","Poland","Kuala Lumpur","34","30","4","11.8%"
"Brazil","France","Brasilia","51","45","6","11.8%"
"Germany","France","Frankfurt/Main","18","15","2","11.8%"
"Jordan","France","Amman","4,426","3,782","510","11.8%"
"Chile","Germany","Santiago De Chile","104","82","11","11.8%"
"Saint Lucia","France","Castries","164","128","17","11.7%"
"China","Portugal","Shanghai","598","528","70","11.7%"
"Uruguay","Spain","Montevideo","139","119","16","11.7%"
"Uganda","France","Kampala","3,017","2,606","342","11.6%"
"Singapore","Hungary","Singapore","275","243","32","11.6%"
"Russian Federation","Italy","Moscow","100,867","89,167","11,680","11.6%"
"Türkiye","Italy","Ankara","8,292","7,335","956","11.5%"
"China","Netherlands","Guangzhou (Canton)","793","693","90","11.5%"
"Zimbabwe","Netherlands","Harare","615","541","70","11.5%"
"Saudi Arabia","Poland","Riyadh","810","699","92","11.5%"
"Türkiye","Portugal","Ankara","1,102","950","127","11.5%"
"Bosnia And Herzegovina","Slovenia","Sarajevo","61","52","7","11.5%"
"India","Italy","Kolkata","6,909","6,115","794","11.5%"
"Zambia","Italy","Lusaka","856","757","98","11.4%"
"Colombia","Netherlands","Bogota","45","39","5","11.4%"
"Türkiye","Poland","Ankara","3,830","3,387","435","11.4%"
"Uzbekistan","Slovakia","Tashkent","247","217","28","11.4%"
"Jamaica","Germany","Kingston","715","613","78","11.3%"
"Lebanon","Greece","Beirut","11,156","9,671","1,246","11.3%"
"Thailand","Poland","Bangkok","918","803","102","11.3%"
"South Korea","Poland","Seoul","98","85","11","11.2%"
"Morocco","Spain","Casablanca","63,113","48,962","6,162","11.2%"
"Mozambique","Spain","Maputo","1,444","1,263","159","11.2%"
"Tanzania","Spain","Dar Es Salaam","917","837","106","11.2%"
"Pakistan","Austria","Islamabad","1,363","668","84","11.2%"
"Netherlands","Belgium","The Hague","8","8","1","11.1%"
"Spain","Denmark","Madrid","10","8","1","11.1%"
"Japan","Estonia","Tokyo","18","16","2","11.1%"
"Venezuela","Portugal","Caracas","9","8","1","11.1%"
"Netherlands","Germany","Amsterdam","18","16","2","11.1%"
"Türkiye","Greece","Istanbul","103,277","91,241","11,420","11.1%"
"Russian Federation","Germany","Kaliningrad","6,440","5,692","703","11.0%"
"Indonesia","Poland","Jakarta","944","839","104","11.0%"
"Palestinian Authority","Switzerland","Ramallah","609","536","67","11.0%"
"Brazil","Czech Republic","Brasilia","2","0","2","100.0%"
"Comoros","France","Mutsamudu","4","0","2","100.0%"
"Venezuela","Netherlands","Caracas","1","0","1","100.0%"
"Madagascar","Norway","Antananarivo","1","0","1","100.0%"
"Germany","Portugal","Hamburg","1","0","1","100.0%"
"Ecuador","Switzerland","Guayaquil","1,977","1,762","215","10.9%"
"Trinidad And Tobago","Germany","Port Of Spain","131","114","14","10.9%"
"India","Germany","New Delhi","13,341","11,822","1,443","10.8%"
"Türkiye","Hungary","Istanbul","15,724","14,023","1,701","10.8%"
"Romania","Czech Republic","Bucharest","148","124","16","10.8%"
"Philippines","Denmark","Manila","4,197","3,686","440","10.7%"
"Qatar","France","Doha","17,617","15,463","1,864","10.7%"
"Lebanon","Slovakia","Beirut","104","92","11","10.7%"
"United Kingdom","Sweden","London","6,394","5,559","671","10.7%"
"Uruguay","Italy","Montevideo","28","25","3","10.7%"
"China","Malta","Beijing","1,338","1,141","137","10.7%"
"Vietnam","Netherlands","Hanoi","2,699","2,263","281","10.7%"
"Moldova","Hungary","Chisinau","411","366","45","10.7%"
"Lithuania","Germany","Vilnius","47","38","5","10.6%"
"Serbia","Hungary","Belgrade","461","412","49","10.6%"
"Kosovo","Germany","Pristina","54,685","96","5,731","10.5%"
"Argentina","Greece","Buenos Aires","19","16","2","10.5%"
"Russian Federation","Germany","Novosibirsk","3,775","3,308","386","10.3%"
"Bahrain","Italy","Manama","6,178","5,543","635","10.3%"
"Kosovo","Slovenia","Pristina","4,498","14","444","10.3%"
"Israel","Austria","Tel Aviv","556","483","57","10.3%"
"New Zealand","Netherlands","Wellington","224","192","22","10.3%"
"Türkiye","Poland","Istanbul","3,961","3,547","409","10.3%"
"Ethiopia","Switzerland","Addis Abeba","891","761","91","10.2%"
"Russian Federation","Switzerland","Moscow","10,990","9,728","1,123","10.2%"
"Armenia","France","Yerevan","10,080","8,942","1,022","10.2%"
"Tanzania","Italy","Dar Es Salaam","889","799","90","10.1%"
"Kenya","Greece","Nairobi","1,218","1,068","120","10.1%"
"Panama","Spain","Panama City","816","714","80","10.1%"
"Thailand","Norway","Bangkok","15,338","13,709","1,531","10.0%"
"Malaysia","Belgium","Kuala Lumpur","102","81","9","10.0%"
"South Africa","Czech Republic","Pretoria","1,869","1,683","186","10.0%"
"Honduras","Germany","Tegucigalpa","10","9","1","10.0%"
"Ireland","Hungary","Dublin","280","252","28","10.0%"
"Congo (Democratic Republic)","Germany","Kinshasa","161","143","3","1.9%"
"China","Slovenia","Beijing","226","102","4","1.9%"
"Slovenia","Austria","Ljubljana","54","51","1","1.9%"
"Azerbaijan","Austria","Baku","1,788","1,751","33","1.8%"
"Saudi Arabia","Austria","Riyadh","16,695","16,387","297","1.8%"
"Russian Federation","Finland","Murmansk","2,627","2,542","47","1.8%"
"Uruguay","France","Montevideo","65","56","1","1.8%"
"Australia","Italy","Adelaide","56","55","1","1.8%"
"San Marino","Italy","San Marino","114","112","2","1.8%"
"Luxembourg","Luxembourg","Luxembourg","92","54","1","1.8%"
"Kuwait","Malta","Kuwait","176","167","3","1.8%"
"United Kingdom","Poland","London","2,973","2,898","54","1.8%"
"Nigeria","Spain","Abuja","423","369","7","1.8%"
"Mexico","Switzerland","Mexico City","111","109","2","1.8%"
"Malaysia","Spain","Kuala Lumpur","355","342","6","1.7%"
"Romania","Spain","Bucharest","434","403","7","1.7%"
"Canada","Switzerland","Vancouver","2,462","2,418","41","1.7%"
"Israel","Greece","Tel Aviv","478","469","8","1.7%"
"Usa","Belgium","Atlanta, Ga","435","401","7","1.7%"
"Philippines","Czech Republic","Manila","1,196","1,176","20","1.7%"
"Usa","Poland","Houston, Tx","183","177","3","1.7%"
"Russian Federation","Lithuania","Kaliningrad","1,886","1,848","31","1.6%"
"Usa","Netherlands","New York, Ny","1,263","1,186","19","1.6%"
"Romania","France","Bucharest","1,209","1,179","19","1.6%"
"South Africa","Belgium","Cape Town","1,771","1,714","26","1.5%"
"Canada","Czech Republic","Ottawa","67","66","1","1.5%"
"Colombia","Germany","Bogota","67","65","1","1.5%"
"South Korea","Germany","Seoul","269","258","4","1.5%"
"Belarus","Hungary","Minsk","13,468","13,264","204","1.5%"
"Canada","Italy","Toronto","914","900","14","1.5%"
"Canada","Spain","Montreal","1,015","970","15","1.5%"
"Usa","Spain","Miami, Fl","3,427","3,318","51","1.5%"
"Ireland","Poland","Dublin","394","386","6","1.5%"
"Usa","Italy","New York, Ny","2,041","2,013","28","1.4%"
"Usa","Lithuania","Chicago, Il","223","209","3","1.4%"
"Canada","Poland","Toronto","144","142","2","1.4%"
"Spain","France","Madrid","78","73","1","1.4%"
"India","Germany","Chennai","147","142","2","1.4%"
"Usa","Germany","Boston, Ma","1,295","1,270","18","1.4%"
"Usa","Germany","New York, Ny","2,699","2,583","38","1.4%"
"Albania","Greece","Tirana","211","186","3","1.4%"
"Canada","Italy","Ottawa","145","142","2","1.4%"
"Japan","Italy","Tokyo","511","504","7","1.4%"
"Belarus","Slovakia","Minsk","2,207","2,175","32","1.4%"
"Iraq","Sweden","Baghdad","150","139","2","1.4%"
"Ireland","Slovakia","Dublin","80","79","1","1.3%"
